------- 1 - Términos	BI2024
precipitar de manera conjunta	co-precipitate	BI2024
precipitar de manera conjunta	coprecipitate	BI2024
de un comprimido)	core	BI2024
núcleo	tablet core	de un comprimido)	BI2024
diámetro del núcleo	core diameter	de un comprimido)	BI2024
almidón de maíz	corn starch	BI2024
enfermedad coronaria	coronary artery disease	BI2024
cardiopatía coronaria	coronary heart disease	BI2024
medidas correctivas y preventivas	corrective actions and preventive actions	BI2024
análisis de correlación	correlation analysis	BI2024
corticoesteroide 	corticosteroid	BI2024
papel satinado	couche paper	BI2024
culombio	coulomb	BI2024
culombímetro	coulombmeter	BI2024
culombimetría	coulombmetry	BI2024
unidades [unid.]	count 	BI2024
constante de acoplamiento	coupling constant	BI2024
unión covalente	covalent binding	BI2024
estructura de covarianza	covariance structure	BI2024
portada	cover page	BI2024
lámina de recubrimiento	covering foil	BI2024
dolor de tipo cólico	cramping pain	BI2024
dolor de tipo cólico	cramp-like pain	BI2024
proteína C reactiva	C-reactive protein	BI2024
creatina-cinasa	creatine kinase	BI2024
depuración de la creatinina	creatinine clearance 	BI2024
tapa metálica	crimp cap 	de un vial)	BI2024
crimpadora	crimper	BI2024
crimpadora	crimping machine	BI2024
medicina intensiva	critical care medicine	BI2024
en estado crítico	critical condition	BI2024
atributos críticos de calidad	critical quality attributes	BI2024
cromolín	cromolyn	BI2024
crospovidona	crospovidone	BI2024
estudio clínico de grupos cruzados	cross-over clinical study	BI2024
estudio clínico de grupos cruzados	crossover clinical study	BI2024
frecuencias de las señales	crosspeaks	en espectroscopía)	BI2024
sin procesar	crude	por ejemplo, referido a datos)	BI2024
resistencia al aplastamiento 	crushing strength	BI2024
morfología cristalina	crystal morphology	BI2024
estructura cristalina	crystal structure	BI2024
agua de cristalización	crystal water	BI2024
cristalinidad	crystallinity	BI2024
resultados cristalográficos	crystallographic results 	BI2024
centrímetro cúbico 	cubic centimeter 	BI2024
centrímetro cúbico 	cubic centimetre	BI2024
lista completa	cumulative list	BI2024
tartrato cúprico	cupric tartrate	BI2024
versión actual	current version	BI2024
ajuste de curvas	curve fittings	BI2024
fecha límite	cut off date	BI2024
fecha límite	cut-off date	BI2024
cianocobalamina	cyanocobalamin	BI2024
sin ciclamato	cyclamate free	BI2024
cicloergometría	cycle ergometry	BI2024
ciclohexano	cyclohexane	BI2024
ciclofosfamida	cyclophosphamide	BI2024
ciclosporina	cyclosporine	BI2024
mono cynomolgus	Cynomolgus monkey	BI2024
cisteína 	cysteine 	BI2024
Citocromo P450 	Cytochrome P-450 [CYP-450]	BI2024
conjunto de datos	data pooling	BI2024
Comité de vigilancia de datos y seguridad 	Data Safety Monitoring Board 	BI2024
finalización de la carga en la base de datos 	database lock	BI2024
fecha de inicio del estudio de estabilidad	date placed on stability	BI2024
en espectrometría de masas)	daughter ion	BI2024
ion producto	product ion	en espectrometría de masas)	BI2024
bajorrelieve de los comprimidos	debossing of the tablets	BI2024
árbol de toma de decisiones 	decision tree 	BI2024
disminución	decrease	BI2024
disminución del deterioro renal	decreased renal impairment	BI2024
trombosis venosa profunda	deep vein thrombosis	BI2024
notificación de objeciones	deficiency letter	BI2024
desgasificar	degas	BI2024
patrón de degradación	degradation pattern	BI2024
productos de degradación	degradation products	BI2024
to be)	degrade into small peptides and amino acids	degradar(se) en pequeños péptidos y aminoácidos	BI2024
grados de libertad	degrees of freedom	referido a estadística)	BI2024
desionizada	deionized	BI2024
dosis administrada	delivered dose	BI2024
desmineralizar	demineralize	BI2024
desnaturalización	denaturation	BI2024
ácido desoxirribonucleico	deoxyribonucleic acid	BI2024
unión de ácido desoxirribonucleico a microesferas magnéticas	deoxyribonucleic acid binding to magnetic beads 	BI2024
Departamento de Ciencias Analíticas	Department of Analytical Sciences	Department of Analytical Sciences) 	BI2024
Departamento de Farmacocinética y Metabolismo de Medicamentos	Department of Drug Metabolism and Pharmacokinetics	Department of Drug Metabolism and Pharmacokinetics)	BI2024
Departamento de Servicios de Datos Médicos	Department of Medical Data Services	Department of Medical Data Services) 	BI2024
Departamento de Seguridad Farmacológica Preclínica	Department of Non-Clinical Drug Safety	Department of Non-Clinical Drug Safety)	BI2024
defosforilación	dephosphorylation	BI2024
agotamiento	depletion	BI2024
disminución	depletion	BI2024
secante de 30 unidades	desiccant 30 counts	BI2024
sobre del secante	desiccant packet	BI2024
desecador	desiccator	BI2024
diseño del experimento 	design of experiment 	BI2024
Solicitud de designación	Designation Request	BI2024
límite de detección	detection limit	BI2024
resolución de detección	detection resolution	BI2024
evaluar, medir	determine	BI2024
caracterizar	determine	BI2024
Farmacopea alemana	Deutsches Arzneibuch	Deutsches Arzneibuch),	BI2024
desarrollo	development	BI2024
partidas del desarrollo	development batches         	BI2024
genética del desarrollo	Development Genetics	BI2024
dispositivo	device	BI2024
retinopatía diabética	diabetic retinitis	BI2024
mutágeno de diagnóstico	diagnostic mutagen	BI2024
diamina	diamine 	BI2024
tensión arterial diastólica	diastolic arterial pressure	BI2024
ingesta alimentaria de referencia	dietary reference intake	BI2024
medidor de diferencia de presión	differential pressure meter	BI2024
mezcladora por difusión	diffusion mixer	BI2024
digoxina	digoxin	BI2024
dihidrato	dihydrate	BI2024
diluyente	diluent	BI2024
dimetilamina	dimethyl amine	BI2024
detector de matriz de diodos	diode array detector	BI2024
detector de matriz de diodos	diode-array detector	BI2024
descargar al aire	discharge to waste	BI2024
decoloración	discolouration	BI2024
interrupción	discontinuation	BI2024
interrumpir	discontinue	referido a un tratamiento)	BI2024
consideraciones finales	discussion	si no es un subtítulo de un artículo científico)	BI2024
discusión	discussion	si es un subtítulo de un artículo centífico)	BI2024
consideraciones finales y conclusión	discussion and conclusion	BI2024
disgregación	disintegration	BI2024
desintegración	disintegration	BI2024
desintegración	disintegration	BI2024
puede ser según el contexto: disgregación	disintegration	BI2024
edetato disódico	disodium edetate	BI2024
dispersabilidad	dispersibility	BI2024
dispersable	dispersible	BI2024
dispositivo de dispersión 	dispersing device 	BI2024
vesícula biliar desplazada	displaced gall bladder	BI2024
predisposición	disposition	a padecer una enfermedad)	BI2024
disposición	disposition	distribución, metabolismo y eliminación) (en farmacocinética)	BI2024
índice de disposición	disposition index	distribución, metabolismo y eliminación) (en farmacocinética)	BI2024
constante de disociación 	dissociation constant 	BI2024
equipo de disolución	dissolution apparatus	BI2024
cinética de disolución	dissolution kinetics	BI2024
velocidad de disolución	dissolution rate	BI2024
agua destilada	distilled water	BI2024
distribución en sangre	distribution in blood	BI2024
dosis	dosage	BI2024
posología	dosage	BI2024
dosificación 	dosage	BI2024
posología y administración	dosage and administration	BI2024
forma farmacéutica	dosage form	BI2024
presentación	dosage form	BI2024
intervalo de administración	dosage interval	BI2024
intervalo de administración	dosing interval 	BI2024
concentración	dosage strength	BI2024
dosis	dose	BI2024
toma	dose	BI2024
aumento de la dosis	dose escalation	BI2024
posología	dose regimen	BI2024
ajuste de la dosis	dose titration	BI2024
absorción rápida	dose-dumping	referido a un medicamento de liberación prolongada)	BI2024
dosier	dossier	BI2024
estudio clínico doble ciego	double blind clinical study	BI2024
estudio clínico con doble simulación	double dummy	BI2024
estudio clínico con doble simulación	double-dummy clinical study	BI2024
envase de plástico de pared doble	double walled plastic container	BI2024
ajuste descendiente de la dosis	down titration	BI2024
descenso	downregulate	BI2024
posterior	downstream	BI2024
en fases posteriores	downstream	referido a la activación de las vías proinflamatorias y profibróticas)	BI2024
activación en las fases posteriores	downstream activation	BI2024
equivalentes de vía descendente	downstream equivalents	BI2024
transformación de vía descendente 	downstream fate 	BI2024
versión preliminar	draft	BI2024
reactivo de Dragendorff	Dragendorff reagent	BI2024
Dräger	Dräger	volúmetro)	BI2024
desecada/o	dried 	referido a sustancias orgánicas)	BI2024
deshidratada/o	dried 	referido a químicos)	BI2024
deriva	drift	BI2024
velocidad de goteo	dripping speed	BI2024
gota	droplet	BI2024
gotero	dropper	BI2024
embudo de goteo	dropping funnel	BI2024
análisis de electroquimioluminescencia de extrapolación del medicamento	drug bridging electrochemiluminescence assay 	BI2024
fármaco potencial	drug candidate	BI2024
farmacodependencia	drug dependence	BI2024
Equipo Complementario de Descubrimiento de Medicamentos 	Drug Discovery Support	BI2024
bomba de eflujo de medicamentos	drug efflux pump	BI2024
concentración	drug load	BI2024
Archivo general del medicamento	Drug Master File	BI2024
pacientes sin tratamiento farmacológico previo	drug naive patients	BI2024
pacientes sin tratamiento farmacológico previo	drug näive patients	BI2024
medicamento 	drug product	BI2024
medicamento 	drug	BI2024
exantema medicamentoso	drug rash	BI2024
síndrome de reacción al fármaco con eosinofilia y síntomas sistémicos 	drug reaction with eosinophilia and systemic symptoms syndrome	BI2024
soluciones medicamentosas	drug solutions	BI2024
principio activo	drug substance 	BI2024
farmacovigilancia	drug surveillance	BI2024
farmacovigilancia	pharmacovigilance	BI2024
interacción medicamentosa 	drug-drug interaction	BI2024
asociada/o a la ingesta del medicamento	drug-induced 	BI2024
provocado/a por el medicamento 	drug-induced 	BI2024
relación fármaco/excipiente	drug-to-excipient ratio	BI2024
granulación en seco	dry granulation	BI2024
inhalador de polvo seco	dry powder inhalator	BI2024
gel de sílice seco	dry silica gel	BI2024
secador 	dryer 	BI2024
amarillo opaco 	dull-yellow 	BI2024
espectro simulado	dummy scan	BI2024
capuchón	dust cap 	de un inhalador)	BI2024
permanencia	dwell	BI2024
tiempo de permanencia	dwell time	BI2024
volumen de permanencia	dwell volume	BI2024
fuga mediante tinción	dye leakage	BI2024
colorante	dyer	BI2024
absorción dinámica de vapor	dynamic vapor absorption	BI2024
índice de disnea	dyspnea index	BI2024
índice de disnea	dyspnoea index	BI2024
Impurezas individuales	Each individual impurity	BI2024
ensayo clínico de fase I temprana	early phase I clinical trial 	BI2024
ensayo clínico de fase II temprana	early phase II clinical trial	BI2024
pasos iniciales	early steps	BI2024
edetato	edetate	BI2024
eficacia 	efficacy	BI2024
criterio de valoración de la eficacia	efficacy endpoint	BI2024
Ensayo Effisayil‑1	Effisayil-1 trial	BI2024
transportador de eflujo glicoproteína P	efflux transporter P-glycoprotein	BI2024
derrame	effusion	BI2024
elastómero	elastomer	BI2024
electrocardiograma	electrocardiogram	BI2024
ionización por electrospray	electrospray ionization	BI2024
análisis elemental	elemental analysis	BI2024
paciente que cumple con los criterios de inclusión	eligible patient	BI2024
eluido	eluate	BI2024
eluyente	eluent	BI2024
fase móvil	eluent	referido a cromatografía)	BI2024
toxicidad embriofetal	embryo-fetal toxicity	BI2024
toxicidad embriofetal	embryo-foetal toxicity	BI2024
desarrollo embrionario	embryonic development	BI2024
emulsionante 	emulsifier	BI2024
pureza enantiomérica	enantiomeric purity	BI2024
etapa de encapsulado	encapsulation step	BI2024
IgG endógena	endogenous IgG	BI2024
endotermia	endotherm	BI2024
criterio de valoración	endpoint	referido a estudios clínicos)	BI2024
punto final	endpoint	en química). También: conclusión (de un estudio clínico o de un período de observación)	BI2024
valor extremo	end-point	en un rango de valores)	BI2024
tiempo de resistencia	endurance time	BI2024
consumo de energía	energy uptake 	en la molienda)	BI2024
inclusión	enrolment	BI2024
incorporación	enrolment	referido a los sujetos de un estudio clínico)	BI2024
alimentación por sonda nasogástrica	enteral nutrition	BI2024
alimentación por sonda nasogástrica	tube feeding	BI2024
recirculación enterohepática	enterohepatic recycling	BI2024
entalpía	enthalpy	BI2024
catálisis enzimática	enzymatic catalysis	BI2024
autoinducción enzimática	enzyme autoinduction	BI2024
complejo enzima-inhibidor	enzyme-inhibitor complex	BI2024
ensayo de inmunoadsorción enzimática	enzyme-linked immunosorbent assay	BI2024
complejo enzima-sustrato	enzyme-substrate complex	BI2024
receptor del factor de crecimiento epidérmico - inhibidor de la cinasa de tirosina [EGFR-TKI]	epidermal growth factor receptor - tyrosine kinase inhibitor [EGFR-TKI]	BI2024
receptor del factor de crecimiento epidérmico	epidermal growth factor receptor	BI2024
carcinoma epidermoide	epidermoid carcinoma	BI2024
epididimo	epididymis	BI2024
epímero	epimer	BI2024
clorhidrato de epinastina	epinastine hydrochloride	BI2024
atrofia epitelial	epithelial atrophy	BI2024
tiempo de equilibrio	equilibration time	BI2024
solubilidad de equilibrio	equilibrium solubility	BI2024
matraz de Erlenmeyer	Erlenmeyer flask	BI2024
erlotinib	erlotinib	BI2024
resistente al erlotinib	erlotinib-resistant	BI2024
eritropoyesis	erythropoiesis	BI2024
Escherichia coli	Escherichia coli	BI2024
esofágico	esophageal	BI2024
requisitos esenciales del desempeño	essential performance requirements	BI2024
creación del sistema de banco de células	establishment of Cell Bank System	BI2024
éster	ester	BI2024
sulfonato de etano	ethane sulfonate	BI2024
acetato de etilo	ethyl acetate 	BI2024
grupo éster etílico	ethyl ester group	BI2024
ácido etilendiaminotetraacético	ethylenediamine tetraacetic acid	BI2024
Agencia Europea de Evaluación de los Productos Farmacéuticos	European Agency for the Evaluation of Medicinal Products 	European Agency for the Evaluation of Medicinal Products)	BI2024
Espacio Económico Europeo	European Economic Area	BI2024
EUROPSO)	European Federation of Psoriasis Patient Associations	Federación Europea de Asociaciones de Pacientes Psoriásicos (European Federation of Psoriasis Patient Associations - EUROPSO ) 	BI2024
Agencia Europea de Medicamentos	European Medicines Agency	European Medicines Agency)	BI2024
Farmacopea europea [Ph. Eur.]	European Pharmacopeia [Ph. Eur.]	BI2024
evaluabilidad	evaluability	BI2024
excipientes	excipients	BI2024
excreción	excretion 	sentido estricto)	BI2024
eliminación	excretion 	sentido amplio)	BI2024
vías de excreción	excretion pathways	BI2024
resumen	executive summary	BI2024
tiempo de resistencia al ejercicio	exercise endurance time	BI2024
temperatura de aire de salida	exhaust air temperature	BI2024
agotamiento	exhaustion	BI2024
expandir las células 	expand the cells	BI2024
resultado esperado	expected outcome	BI2024
informe del experto	expert report	BI2024
vencimiento	expiration	referido a la vida útil de un producto) / espiración	BI2024
exhalación	expiration	referido a la respiración)	BI2024
fallecimiento	expiration	BI2024
volumen espiratorio de reserva	expiratory reserve volume	BI2024
ampliación	exploded view	BI2024
estudios exploratorios farmacocinéticos	exploratory pharmacokinetics 	BI2024
datos de estabilidad exploratorios	exploratory stability data	BI2024
exposición	exposure	BI2024
plásmido de expresión 	expression plasmid	BI2024
vector de expresión	expression vector	BI2024
liberación prolongada	extended release	BI2024
matriz de liberación prolongada	extended-release controlling matrix	BI2024
prolongación de la vida útil del producto 	extension of the shelf life of the drug product	BI2024
distribución amplia	extensive distribution	BI2024
grado de absorción	extent of absorption	BI2024
método estándar externo	external standard method	BI2024
disolvente de extracción	extraction solvent	BI2024
hematopoyesis extramedular	extramedullary haemopoiesis	BI2024
distribución extravascular 	extravascular distribution	BI2024
extrusión	extrusion	BI2024
instalaciones	facilities	BI2024
mezclador vertical 	fall mixer	BI2024
ácidos grasos	fatty acids	BI2024
aceites grasos	fatty oils	BI2024
Ley Federal de Alimentos, Medicamentos y Cosméticos	Federal Food, Drug, and Cosmetic Act	de los EE.UU.)	BI2024
Instituto Federal de Medicamentos y Dispositivos Médicos 	Federal Institute for Drugs and Medical Devices 	de Alemania)	BI2024
toma 	feed	BI2024
hembra	female 	BI2024
serie de fermentación	fermentation runs	BI2024
casquete	ferrule	de un envase)	BI2024
contenedor de fibra para transporte de muestras	fiber shipping container	BI2024
contenedor de fibra para transporte de muestras	fibre shipping container	BI2024
tambor de fibra	fibre board drum	BI2024
tambor de fibra	fibre drum	BI2024
tambor de fibra	fiber drum	BI2024
receptor del factor de crecimiento fibroblástico	fibroblast growth factor receptor	BI2024
generación filial 	filial generation	BI2024
llenar	fill	BI2024
completar	fill up 	BI2024
volumen de llenado	fill volume	BI2024
relleno 	filler	BI2024
cabezal de llenado	fill-head	BI2024
material de relleno	filling mass	BI2024
material de relleno	fill mass	BI2024
masa de relleno del tanque de reserva	filling mass of the reservoir	BI2024
espesor de la película	film thickness 	referido a cromatografía)	BI2024
comprimido recubierto 	film-coated tablet	BI2024
comprimido recubierto 	coated tablet	BI2024
filtro	filter 	BI2024
portafiltros	filter holder	BI2024
filtro de la membrana	filter membrane	BI2024
papel de filtro	filter paper	BI2024
bandeja de filtrado	filter plate	BI2024
coadyuvante de filtrado	filter-aide	BI2024
coadyuvante de filtrado	filter aide	BI2024
filtración	filtration	BI2024
filtrado	filtrate	BI2024
versión final del diseño	final art	referido a un envase)	BI2024
etapa final	final stage 	BI2024
hallazgo	finding	BI2024
material de grano fino	fine material	BI2024
dosis de partículas finas	fine particle dose	BI2024
partículas finas	fines	BI2024
de una jeringa)	finger grip	BI2024
lengüeta de apoyo	finger flange	de una jeringa)	BI2024
producto terminado	finished product	BI2024
fabricante del producto terminado	finished product manufacturer	BI2024
primera generación 	first generation	BI2024
metabolismo en el primer paso	first pass metabolism	BI2024
metabolismo en el primer paso	first-pass metabolism	BI2024
fijador	fixative	BI2024
combinación a dosis fija	fixed-dose combination 	BI2024
brote agudo	flare	BI2024
brote agudo de PPG de intensidad entre moderada y grave	flare of GPP of moderate-to-severe intensity	BI2024
brote agudo de PPG de intensidad entre moderada y grave	flare of GPP of moderate to severe intensity	BI2024
punto de inflamación	flash point	BI2024
monoxigenasas que contienen flavinas	flavin-containing monooxygenases	BI2024
flavonoide 	flavonoid	BI2024
saborizante	flavouring agent	BI2024
saborizante	flavoring agent	BI2024
beige claro 	flesh	BI2024
beige claro 	flesh-coloured	BI2024
dolor fluctuante	flickering pain	BI2024
medidor de flujo de tipo flotante	float-type flow meter	BI2024
regulador de flujo	flow control unit	BI2024
flujograma	flow diagram	BI2024
flujograma	flow chart	BI2024
velocidad de flujo	flow rate	BI2024
propiedad de fluidez	flowing property	BI2024
lecho fluido	fluid bed 	BI2024
prueba de sobrecarga líquida	fluid challenge test	BI2024
fluoruro	fluoride	BI2024
costilla lumbar	flying rib	BI2024
discromía focal	focal discolouration	BI2024
distancia focal	focal length	BI2024
puntuación focal	focal score	BI2024
caja plegable	folding box	BI2024
caja plegable	carton	BI2024
ácido fólico	folic acid	BI2024
foliculitis	folliculitis	BI2024
aditivo alimentario	food additive	BI2024
Administración de Alimentos y Medicamentos	Food and Drug Administration	Food and Drug Administration) 	BI2024
producto alimenticio	foodstuff	BI2024
para analizar	for analysis	BI2024
estudio de degradación forzada	forced degradation study	BI2024
FEV)	forced expiratory volume	volumen espiratorio máximo (VEF)	BI2024
cuerpos extraños	foreign bodies	BI2024
impurezas	foreign matter 	BI2024
factor de forma	form factor	BI2024
lámina cavitada	forming foil	BI2024
formoterol	formoterol	BI2024
fumarato de formoterol	formoterol fumarate	BI2024
fórmula	formulation	BI2024
composición	formulation	del medicamento)	BI2024
prueba de flujo directo	forward flow test	BI2024
cuatro veces al día	four times a day [q.i.d.] / 	BI2024
espectroscopía infrarroja por transformada de Fourier	Fourier transformed infrared spectroscopy [FT-IR]	BI2024
estudio cruzado de cuatro vías	four-way cross-over study	BI2024
estudio cruzado de cuatro vías	four-way crossover study	BI2024
fracción absorbida 	fraction absorbed 	BI2024
fracción biodisponible	fraction bioavailable	BI2024
cambio del marco de lectura	frameshift change	BI2024
mutágeno que desplaza el marco de lectura del código genético	frameshift mutagen	BI2024
base libre	free base	BI2024
ácido graso libre	free fatty acid	BI2024
fácilmente soluble	freely soluble	BI2024
congelar y descongelar	freeze and thaw	BI2024
distribución de frecuencias 	frequency distribution	BI2024
soluciones recién preparadas	freshly prepared solutions	BI2024
friabilidad	friability	BI2024
gases combustibles	fuel gases	BI2024
grupo completo de análisis	full analysis set	BI2024
método de evaporación total	full evaporation technique	BI2024
escala de producción completa	full production scale	BI2024
escala completa 	full scale  	BI2024
campana extractora de vapores	fume hood	BI2024
Evaluación Funcional del Tratamiento de Enfermedades Crónicas - Fatiga	Functional Assessment of Chronic Illness Therapy - Fatigue [FACIT-F] 	BI2024
capacidad residual funcional	functional residual capacity	BI2024
furafilina	furafylline	BI2024
gamma glutamil transferasa	gamma glutamyl transferase	BI2024
gammagrafía	gamma scintigraphy	BI2024
gamma globulina	gamma-globulin	BI2024
cromatógrafo de gases	gas chromatograph	BI2024
cromatografía de gases	gas chromatography 	BI2024
tránsito gastrointestinal	gastrointestinal transit	BI2024
calibrador de perno	gauge pin	BI2024
alimentación por sonda nasogástrica	gavage	BI2024
constructo génico	gene construct	BI2024
notas generales	general notes	BI2024
psoriasis pustulosa generalizada	generalized pustular psoriasis	BI2024
Evaluación global del médico de la psoriasis pustulosa generalizada	Generalized Pustular Psoriasis Physician Global Assessment	BI2024
Generalmente reconocidos como seguros	Generally recognised as safe	BI2024
efecto genotóxico	genotoxic effect	BI2024
media geométrica	geometric mean	en estadística)	BI2024
día de gestación	gestation day	BI2024
glándula	gland 	BI2024
electrodo de vidrio	glass electrode	BI2024
pipeta de vidrio 	glass pipette	BI2024
varilla de vidrio	glass rod	BI2024
ampolla de vidrio	glass vial	BI2024
frasco de vidrio	glass vial	BI2024
con tapón de vidrio	glass-stoppered	BI2024
utensilios de vidrio	glassware	BI2024
deslizante	glidant	referido a los comprimidos)	BI2024
Base de Datos de Seguridad Farmacológica Global 	Global Drug Safety Database	BI2024
Iniciativa global de la enfermedad pulmonar obstructiva crónica	Global initiative for chronic Obstructive Lung Disease 	BI2024
glucocorticoide	glucocorticoid	BI2024
glucosinasa	glucokinase	BI2024
péptido insulinotrópico dependiente de la glucosa	glucose dependent insulinotropic peptide	BI2024
glutamato deshidrogenasa	glutamate dehydrogenase	BI2024
glutamina	glutamine	BI2024
control glucémico	glycaemic control	BI2024
glicerina	glycerol	BI2024
glicerofosfato	glycerophosphate	BI2024
glicina	glycin 	BI2024
glicosilación	glycosylation	BI2024
Buenas Prácticas Clínicas	Good Clinical Practices	BI2024
Buenas Prácticas de Laboratorio	Good Laboratory Practices	BI2024
estudio que cumple con las Buenas Prácticas de Laboratorio	Good Laboratory Practices study	BI2024
Buenas Prácticas de Fabricación	Good Manufacturing Practices	BI2024
grados de libertad	grades of freedom	BI2024
calidades de reactivos	grades of reagents 	BI2024
elución en gradiente	gradient elution	BI2024
probeta graduada	graduated cylinder	BI2024
en el contexto de cromatografías)	grand column	BI2024
precolumna	grand-column	en el contexto de cromatografías)	BI2024
precolumna	pre-column	en el contexto de cromatografías)	BI2024
precolumna	precolumn	en el contexto de cromatografías)	BI2024
punto de granulación	granulate point	BI2024
granulación	granulation	BI2024
tubo de grafito con plataforma	graphite tube with platform	BI2024
rejilla	grid	de un filtro)	BI2024
moler	grind	BI2024
por molienda	by grinding	BI2024
molido	ground	BI2024
tapón de vidrio esmerilado	ground glass stopper	BI2024
diafragma de junta esmerilada	ground-joint diaphragm	BI2024
cobayo	Guinea pig	BI2024
vida media	half life	BI2024
concentración inhibitoria máxima al 50% 	half maximal inhibitory concentration 	BI2024
analizador halógeno de la humedad	halogen moisture analyzer	BI2024
válvula manual	hand valve	BI2024
manivela	handwheel	BI2024
cápsula dura	hard capsule 	BI2024
dureza	hardness	BI2024
durómetro	hardness tester	BI2024
rinitis alérgica	hay fever	BI2024
cociente de riesgos instantáneos	hazard ratio	en epidemiología)	BI2024
jefe/a	head	BI2024
director/a	head	BI2024
head	head	consultar a la coordinadora)	BI2024
procesador de muestras automático con espacio libre	headspace autosampler 	BI2024
voluntarios sanos 	healthy volunteers	BI2024
frecuencia cardíaca 	heart rate	BI2024
acidez	heartburn	BI2024
flujo térmico	heat flow	BI2024
sellado por termoinducción	heat induction sealing	BI2024
termosellar	heat seal	BI2024
laca de termosellado	heat seal lacquer	BI2024
recubrimiento termosellado	heatseal coating 	BI2024
cadena pesada	heavy chain	BI2024
pruebas para la determinación de metales pesados	heavy metals testing 	BI2024
altura	height	referido a los envases)	BI2024
helicobacter pylori	helicobacter pylori	BI2024
investigación hematológica	hematological investigation	BI2024
hemihidrato	hemihydrate	BI2024
forma hemihidratada	hemihydrate form	BI2024
hemodinámico/a	hemodynamic	BI2024
factor de crecimiento de unión a la heparina	heparin-binding growth factor	BI2024
deterioro hepático 	hepatic impairment	BI2024
trastornos hepatobiliares	hepatobiliary disorders	BI2024
hepatocito	hepatocyte	BI2024
medicamento de origen vegetal	herbal medicine	BI2024
preparado de origen vegetal	herbal preparation	BI2024
sustancia de origen vegetal	herbal substance	BI2024
hexametilentetramina	hexamethylenetetramine	BI2024
alto peso molecular 	high molecular weight 	BI2024
cromatografía líquida de alta resolución	high performance liquid chromatography	BI2024
cromatografía de exclusión por tamaño de alta resolución	high performance size exclusion chromatography	BI2024
mezclador de alta velocidad	high shear mixer	BI2024
mezclador granulador de alta velocidad	high shear mixer granulator	BI2024
frasco de polietileno de alta densidad	high-density polyethylene bottle	BI2024
 frasco de HDPE	HDPE bottle	BI2024
técnica de cribado de alto rendimiento 	high-throughput screening	BI2024
conejo de Himalaya	Himalayan rabbit	BI2024
diclorhidrato de histamina	histamine dihydrochloride	BI2024
examen histopatológico	histopathological examination	BI2024
histopatología	histopathology	BI2024
tasa de coincidencia	hit rate 	referida al cribado de alto rendimiento) 	BI2024
tiempo de espera	hold time	BI2024
anticonceptivos hormonales 	hormonal contraceptives 	BI2024
células hospedadoras	host cells	BI2024
hora	hour 	BI2024
sistema HP-1100	HP-1100 system	referido a cromatografía)	BI2024
línea celular de carcinoma colónico humano	human colon carcinoma derived cell line	BI2024
dosis equivalente a la humana	human equivalent dose 	BI2024
virus de la inmunodeficiencia humana	human immunodeficiency virus	BI2024
metabolito humano de fase II	human phase II metabolite	BI2024
IgG1) antibody	humanised antagonistic monoclonal immunoglobulin G1	anticuerpo monoclonal humanizado de tipo inmunoglobulina G1 (IgG1) antagonista	BI2024
anticuerpo monoclonal humanizado IgG1	humanized IgG1 monoclonal antibody	BI2024
humidificador	humidifier	BI2024
hidracina	hydrazine	BI2024
sulfato de hidracina	hydrazine sulphate	BI2024
ácido clorhídrico	hydrochloric acid	BI2024
sal clorhidrato	hydrochloride salt	BI2024
hidrofluoroalcano 	hydrofluoroalkane 	BI2024
hidrogenar	hydrogenate	BI2024
hidrólisis	hydrolysis	BI2024
hidrolítico	hydrolytic	BI2024
hidróxido	hydroxide	BI2024
hidroxipropilmetilcelulosa	hydroxypropylmethylcellulose	BI2024
hidroxitriptamina	hydroxytryptamine	BI2024
hidroxicina	hydroxyzine	BI2024
higroscópico	hygroscopic	BI2024
hiperglucemia	hyperglycaemia	BI2024
hiperlipidemia 	hyperlipidemias	BI2024
hipersensibilidad	hypersensibility	BI2024
hipertensión	hypertension 	BI2024
hipromelosa	hypromellose	BI2024
efecto histéresis	hysteresis effect	BI2024
lineamiento de la ICH 	ICH guideline 	BI2024
identificación	identity	BI2024
iditol	Iditol	BI2024
unión al IL-36R mediante el sistema Octet 	IL36R binding by Octet              	BI2024
envase primario	immediate pack	BI2024
material de acondicionamiento primario	immediate packaging material	BI2024
liberación inmediata	immediate release	BI2024
inmunocompetencia	immunocompetence	BI2024
inmunoglobulina A 	immunoglobulin A 	BI2024
Inmunoglobulina G 	immunoglobulin G 	BI2024
parámetro inmunológico	immunologic parameter	BI2024
efecto inmunomodulador	immunomodulating effect	BI2024
investigación inmunotoxicológica	Immunotoxicological investigation	BI2024
propulsor	impeller	BI2024
opaco	impenetrable to light	BI2024
zona de implantación	implantation site	BI2024
e.g.: one face of the tablet is impressed with...)	impression	inscripción (por ejemplo: una cara del comprimido lleva la inscripción… )	BI2024
inscripción	imprint	referido a un comprimido)	BI2024
impureza 	impurity 	BI2024
in extremis	in extremis	BI2024
estabilidad durante el uso	In use stability	BI2024
correlación in vitro	in vitro	BI2024
in vivo 	in vivo correlation	BI2024
velocidad de liberación in vitro 	in vitro release rate	BI2024
estudio in vitro 	in vitro study	BI2024
firma del/de la apoderado/a	in Vollmacht [i.v.]	BI2024
excipiente	inactive ingredient	BI2024
criterio de inclusión 	inclusion criteria	BI2024
diseño en bloques incompletos	incomplete block design	BI2024
reanálisis de muestras	Incurred sample reanalysis	BI2024
