------- 1 - Términos	BI2024
co-precipitate	precipitar de manera conjunta	BI2024
coprecipitate	precipitar de manera conjunta	BI2024
core	de un comprimido)	BI2024
tablet core	núcleo	de un comprimido)	BI2024
core diameter	diámetro del núcleo	de un comprimido)	BI2024
corn starch	almidón de maíz	BI2024
coronary artery disease	enfermedad coronaria	BI2024
coronary heart disease	cardiopatía coronaria	BI2024
corrective actions and preventive actions	medidas correctivas y preventivas	BI2024
correlation analysis	análisis de correlación	BI2024
corticosteroid	corticoesteroide 	BI2024
couche paper	papel satinado	BI2024
coulomb	culombio	BI2024
coulombmeter	culombímetro	BI2024
coulombmetry	culombimetría	BI2024
count 	unidades [unid.]	BI2024
coupling constant	constante de acoplamiento	BI2024
covalent binding	unión covalente	BI2024
covariance structure	estructura de covarianza	BI2024
cover page	portada	BI2024
covering foil	lámina de recubrimiento	BI2024
cramping pain	dolor de tipo cólico	BI2024
cramp-like pain	dolor de tipo cólico	BI2024
C-reactive protein	proteína C reactiva	BI2024
creatine kinase	creatina-cinasa	BI2024
creatinine clearance 	depuración de la creatinina	BI2024
crimp cap 	tapa metálica	de un vial)	BI2024
crimper	crimpadora	BI2024
crimping machine	crimpadora	BI2024
critical care medicine	medicina intensiva	BI2024
critical condition	en estado crítico	BI2024
critical quality attributes	atributos críticos de calidad	BI2024
cromolyn	cromolín	BI2024
crospovidone	crospovidona	BI2024
cross-over clinical study	estudio clínico de grupos cruzados	BI2024
crossover clinical study	estudio clínico de grupos cruzados	BI2024
crosspeaks	frecuencias de las señales	en espectroscopía)	BI2024
crude	sin procesar	por ejemplo, referido a datos)	BI2024
crushing strength	resistencia al aplastamiento 	BI2024
crystal morphology	morfología cristalina	BI2024
crystal structure	estructura cristalina	BI2024
crystal water	agua de cristalización	BI2024
crystallinity	cristalinidad	BI2024
crystallographic results 	resultados cristalográficos	BI2024
cubic centimeter 	centrímetro cúbico 	BI2024
cubic centimetre	centrímetro cúbico 	BI2024
cumulative list	lista completa	BI2024
cupric tartrate	tartrato cúprico	BI2024
current version	versión actual	BI2024
curve fittings	ajuste de curvas	BI2024
cut off date	fecha límite	BI2024
cut-off date	fecha límite	BI2024
cyanocobalamin	cianocobalamina	BI2024
cyclamate free	sin ciclamato	BI2024
cycle ergometry	cicloergometría	BI2024
cyclohexane	ciclohexano	BI2024
cyclophosphamide	ciclofosfamida	BI2024
cyclosporine	ciclosporina	BI2024
Cynomolgus monkey	mono cynomolgus	BI2024
cysteine 	cisteína 	BI2024
Cytochrome P-450 [CYP-450]	Citocromo P450 	BI2024
data pooling	conjunto de datos	BI2024
Data Safety Monitoring Board 	Comité de vigilancia de datos y seguridad 	BI2024
database lock	finalización de la carga en la base de datos 	BI2024
date placed on stability	fecha de inicio del estudio de estabilidad	BI2024
daughter ion	en espectrometría de masas)	BI2024
product ion	ion producto	en espectrometría de masas)	BI2024
debossing of the tablets	bajorrelieve de los comprimidos	BI2024
decision tree 	árbol de toma de decisiones 	BI2024
decrease	disminución	BI2024
decreased renal impairment	disminución del deterioro renal	BI2024
deep vein thrombosis	trombosis venosa profunda	BI2024
deficiency letter	notificación de objeciones	BI2024
degas	desgasificar	BI2024
degradation pattern	patrón de degradación	BI2024
degradation products	productos de degradación	BI2024
degrade into small peptides and amino acids	to be)	degradar(se) en pequeños péptidos y aminoácidos	BI2024
degrees of freedom	grados de libertad	referido a estadística)	BI2024
deionized	desionizada	BI2024
delivered dose	dosis administrada	BI2024
demineralize	desmineralizar	BI2024
denaturation	desnaturalización	BI2024
deoxyribonucleic acid	ácido desoxirribonucleico	BI2024
deoxyribonucleic acid binding to magnetic beads 	unión de ácido desoxirribonucleico a microesferas magnéticas	BI2024
Department of Analytical Sciences	Departamento de Ciencias Analíticas	Department of Analytical Sciences) 	BI2024
Department of Drug Metabolism and Pharmacokinetics	Departamento de Farmacocinética y Metabolismo de Medicamentos	Department of Drug Metabolism and Pharmacokinetics)	BI2024
Department of Medical Data Services	Departamento de Servicios de Datos Médicos	Department of Medical Data Services) 	BI2024
Department of Non-Clinical Drug Safety	Departamento de Seguridad Farmacológica Preclínica	Department of Non-Clinical Drug Safety)	BI2024
dephosphorylation	defosforilación	BI2024
depletion	agotamiento	BI2024
depletion	disminución	BI2024
desiccant 30 counts	secante de 30 unidades	BI2024
desiccant packet	sobre del secante	BI2024
desiccator	desecador	BI2024
design of experiment 	diseño del experimento 	BI2024
Designation Request	Solicitud de designación	BI2024
detection limit	límite de detección	BI2024
detection resolution	resolución de detección	BI2024
determine	evaluar, medir	BI2024
determine	caracterizar	BI2024
Deutsches Arzneibuch	Farmacopea alemana	Deutsches Arzneibuch),	BI2024
development	desarrollo	BI2024
development batches         	partidas del desarrollo	BI2024
Development Genetics	genética del desarrollo	BI2024
device	dispositivo	BI2024
diabetic retinitis	retinopatía diabética	BI2024
diagnostic mutagen	mutágeno de diagnóstico	BI2024
diamine 	diamina	BI2024
diastolic arterial pressure	tensión arterial diastólica	BI2024
dietary reference intake	ingesta alimentaria de referencia	BI2024
differential pressure meter	medidor de diferencia de presión	BI2024
diffusion mixer	mezcladora por difusión	BI2024
digoxin	digoxina	BI2024
dihydrate	dihidrato	BI2024
diluent	diluyente	BI2024
dimethyl amine	dimetilamina	BI2024
diode array detector	detector de matriz de diodos	BI2024
diode-array detector	detector de matriz de diodos	BI2024
discharge to waste	descargar al aire	BI2024
discolouration	decoloración	BI2024
discontinuation	interrupción	BI2024
discontinue	interrumpir	referido a un tratamiento)	BI2024
discussion	consideraciones finales	si no es un subtítulo de un artículo científico)	BI2024
discussion	discusión	si es un subtítulo de un artículo centífico)	BI2024
discussion and conclusion	consideraciones finales y conclusión	BI2024
disintegration	disgregación	BI2024
disintegration	desintegración	BI2024
disintegration	desintegración	BI2024
disintegration	puede ser según el contexto: disgregación	BI2024
disodium edetate	edetato disódico	BI2024
dispersibility	dispersabilidad	BI2024
dispersible	dispersable	BI2024
dispersing device 	dispositivo de dispersión 	BI2024
displaced gall bladder	vesícula biliar desplazada	BI2024
disposition	predisposición	a padecer una enfermedad)	BI2024
disposition	disposición	distribución, metabolismo y eliminación) (en farmacocinética)	BI2024
disposition index	índice de disposición	distribución, metabolismo y eliminación) (en farmacocinética)	BI2024
dissociation constant 	constante de disociación 	BI2024
dissolution apparatus	equipo de disolución	BI2024
dissolution kinetics	cinética de disolución	BI2024
dissolution rate	velocidad de disolución	BI2024
distilled water	agua destilada	BI2024
distribution in blood	distribución en sangre	BI2024
dosage	dosis	BI2024
dosage	posología	BI2024
dosage	dosificación 	BI2024
dosage and administration	posología y administración	BI2024
dosage form	forma farmacéutica	BI2024
dosage form	presentación	BI2024
dosage interval	intervalo de administración	BI2024
dosing interval 	intervalo de administración	BI2024
dosage strength	concentración	BI2024
dose	dosis	BI2024
dose	toma	BI2024
dose escalation	aumento de la dosis	BI2024
dose regimen	posología	BI2024
dose titration	ajuste de la dosis	BI2024
dose-dumping	absorción rápida	referido a un medicamento de liberación prolongada)	BI2024
dossier	dosier	BI2024
double blind clinical study	estudio clínico doble ciego	BI2024
double dummy	estudio clínico con doble simulación	BI2024
double-dummy clinical study	estudio clínico con doble simulación	BI2024
double walled plastic container	envase de plástico de pared doble	BI2024
down titration	ajuste descendiente de la dosis	BI2024
downregulate	descenso	BI2024
downstream	posterior	BI2024
downstream	en fases posteriores	referido a la activación de las vías proinflamatorias y profibróticas)	BI2024
downstream activation	activación en las fases posteriores	BI2024
downstream equivalents	equivalentes de vía descendente	BI2024
downstream fate 	transformación de vía descendente 	BI2024
draft	versión preliminar	BI2024
Dragendorff reagent	reactivo de Dragendorff	BI2024
Dräger	Dräger	volúmetro)	BI2024
dried 	desecada/o	referido a sustancias orgánicas)	BI2024
dried 	deshidratada/o	referido a químicos)	BI2024
drift	deriva	BI2024
dripping speed	velocidad de goteo	BI2024
droplet	gota	BI2024
dropper	gotero	BI2024
dropping funnel	embudo de goteo	BI2024
drug bridging electrochemiluminescence assay 	análisis de electroquimioluminescencia de extrapolación del medicamento	BI2024
drug candidate	fármaco potencial	BI2024
drug dependence	farmacodependencia	BI2024
Drug Discovery Support	Equipo Complementario de Descubrimiento de Medicamentos 	BI2024
drug efflux pump	bomba de eflujo de medicamentos	BI2024
drug load	concentración	BI2024
Drug Master File	Archivo general del medicamento	BI2024
drug naive patients	pacientes sin tratamiento farmacológico previo	BI2024
drug näive patients	pacientes sin tratamiento farmacológico previo	BI2024
drug product	medicamento 	BI2024
drug	medicamento 	BI2024
drug rash	exantema medicamentoso	BI2024
drug reaction with eosinophilia and systemic symptoms syndrome	síndrome de reacción al fármaco con eosinofilia y síntomas sistémicos 	BI2024
drug solutions	soluciones medicamentosas	BI2024
drug substance 	principio activo	BI2024
drug surveillance	farmacovigilancia	BI2024
pharmacovigilance	farmacovigilancia	BI2024
drug-drug interaction	interacción medicamentosa 	BI2024
drug-induced 	asociada/o a la ingesta del medicamento	BI2024
drug-induced 	provocado/a por el medicamento 	BI2024
drug-to-excipient ratio	relación fármaco/excipiente	BI2024
dry granulation	granulación en seco	BI2024
dry powder inhalator	inhalador de polvo seco	BI2024
dry silica gel	gel de sílice seco	BI2024
dryer 	secador 	BI2024
dull-yellow 	amarillo opaco 	BI2024
dummy scan	espectro simulado	BI2024
dust cap 	capuchón	de un inhalador)	BI2024
dwell	permanencia	BI2024
dwell time	tiempo de permanencia	BI2024
dwell volume	volumen de permanencia	BI2024
dye leakage	fuga mediante tinción	BI2024
dyer	colorante	BI2024
dynamic vapor absorption	absorción dinámica de vapor	BI2024
dyspnea index	índice de disnea	BI2024
dyspnoea index	índice de disnea	BI2024
Each individual impurity	Impurezas individuales	BI2024
early phase I clinical trial 	ensayo clínico de fase I temprana	BI2024
early phase II clinical trial	ensayo clínico de fase II temprana	BI2024
early steps	pasos iniciales	BI2024
edetate	edetato	BI2024
efficacy	eficacia 	BI2024
efficacy endpoint	criterio de valoración de la eficacia	BI2024
Effisayil-1 trial	Ensayo Effisayil‑1	BI2024
efflux transporter P-glycoprotein	transportador de eflujo glicoproteína P	BI2024
effusion	derrame	BI2024
elastomer	elastómero	BI2024
electrocardiogram	electrocardiograma	BI2024
electrospray ionization	ionización por electrospray	BI2024
elemental analysis	análisis elemental	BI2024
eligible patient	paciente que cumple con los criterios de inclusión	BI2024
eluate	eluido	BI2024
eluent	eluyente	BI2024
eluent	fase móvil	referido a cromatografía)	BI2024
embryo-fetal toxicity	toxicidad embriofetal	BI2024
embryo-foetal toxicity	toxicidad embriofetal	BI2024
embryonic development	desarrollo embrionario	BI2024
emulsifier	emulsionante 	BI2024
enantiomeric purity	pureza enantiomérica	BI2024
encapsulation step	etapa de encapsulado	BI2024
endogenous IgG	IgG endógena	BI2024
endotherm	endotermia	BI2024
endpoint	criterio de valoración	referido a estudios clínicos)	BI2024
endpoint	punto final	en química). También: conclusión (de un estudio clínico o de un período de observación)	BI2024
end-point	valor extremo	en un rango de valores)	BI2024
endurance time	tiempo de resistencia	BI2024
energy uptake 	consumo de energía	en la molienda)	BI2024
enrolment	inclusión	BI2024
enrolment	incorporación	referido a los sujetos de un estudio clínico)	BI2024
enteral nutrition	alimentación por sonda nasogástrica	BI2024
tube feeding	alimentación por sonda nasogástrica	BI2024
enterohepatic recycling	recirculación enterohepática	BI2024
enthalpy	entalpía	BI2024
enzymatic catalysis	catálisis enzimática	BI2024
enzyme autoinduction	autoinducción enzimática	BI2024
enzyme-inhibitor complex	complejo enzima-inhibidor	BI2024
enzyme-linked immunosorbent assay	ensayo de inmunoadsorción enzimática	BI2024
enzyme-substrate complex	complejo enzima-sustrato	BI2024
epidermal growth factor receptor - tyrosine kinase inhibitor [EGFR-TKI]	receptor del factor de crecimiento epidérmico - inhibidor de la cinasa de tirosina [EGFR-TKI]	BI2024
epidermal growth factor receptor	receptor del factor de crecimiento epidérmico	BI2024
epidermoid carcinoma	carcinoma epidermoide	BI2024
epididymis	epididimo	BI2024
epimer	epímero	BI2024
epinastine hydrochloride	clorhidrato de epinastina	BI2024
epithelial atrophy	atrofia epitelial	BI2024
equilibration time	tiempo de equilibrio	BI2024
equilibrium solubility	solubilidad de equilibrio	BI2024
Erlenmeyer flask	matraz de Erlenmeyer	BI2024
erlotinib	erlotinib	BI2024
erlotinib-resistant	resistente al erlotinib	BI2024
erythropoiesis	eritropoyesis	BI2024
Escherichia coli	Escherichia coli	BI2024
esophageal	esofágico	BI2024
essential performance requirements	requisitos esenciales del desempeño	BI2024
establishment of Cell Bank System	creación del sistema de banco de células	BI2024
ester	éster	BI2024
ethane sulfonate	sulfonato de etano	BI2024
ethyl acetate 	acetato de etilo	BI2024
ethyl ester group	grupo éster etílico	BI2024
ethylenediamine tetraacetic acid	ácido etilendiaminotetraacético	BI2024
European Agency for the Evaluation of Medicinal Products 	Agencia Europea de Evaluación de los Productos Farmacéuticos	European Agency for the Evaluation of Medicinal Products)	BI2024
European Economic Area	Espacio Económico Europeo	BI2024
European Federation of Psoriasis Patient Associations	EUROPSO)	Federación Europea de Asociaciones de Pacientes Psoriásicos (European Federation of Psoriasis Patient Associations - EUROPSO ) 	BI2024
European Medicines Agency	Agencia Europea de Medicamentos	European Medicines Agency)	BI2024
European Pharmacopeia [Ph. Eur.]	Farmacopea europea [Ph. Eur.]	BI2024
evaluability	evaluabilidad	BI2024
excipients	excipientes	BI2024
excretion 	excreción	sentido estricto)	BI2024
excretion 	eliminación	sentido amplio)	BI2024
excretion pathways	vías de excreción	BI2024
executive summary	resumen	BI2024
exercise endurance time	tiempo de resistencia al ejercicio	BI2024
exhaust air temperature	temperatura de aire de salida	BI2024
exhaustion	agotamiento	BI2024
expand the cells	expandir las células 	BI2024
expected outcome	resultado esperado	BI2024
expert report	informe del experto	BI2024
expiration	vencimiento	referido a la vida útil de un producto) / espiración	BI2024
expiration	exhalación	referido a la respiración)	BI2024
expiration	fallecimiento	BI2024
expiratory reserve volume	volumen espiratorio de reserva	BI2024
exploded view	ampliación	BI2024
exploratory pharmacokinetics 	estudios exploratorios farmacocinéticos	BI2024
exploratory stability data	datos de estabilidad exploratorios	BI2024
exposure	exposición	BI2024
expression plasmid	plásmido de expresión 	BI2024
expression vector	vector de expresión	BI2024
extended release	liberación prolongada	BI2024
extended-release controlling matrix	matriz de liberación prolongada	BI2024
extension of the shelf life of the drug product	prolongación de la vida útil del producto 	BI2024
extensive distribution	distribución amplia	BI2024
extent of absorption	grado de absorción	BI2024
external standard method	método estándar externo	BI2024
extraction solvent	disolvente de extracción	BI2024
extramedullary haemopoiesis	hematopoyesis extramedular	BI2024
extravascular distribution	distribución extravascular 	BI2024
extrusion	extrusión	BI2024
facilities	instalaciones	BI2024
fall mixer	mezclador vertical 	BI2024
fatty acids	ácidos grasos	BI2024
fatty oils	aceites grasos	BI2024
Federal Food, Drug, and Cosmetic Act	Ley Federal de Alimentos, Medicamentos y Cosméticos	de los EE.UU.)	BI2024
Federal Institute for Drugs and Medical Devices 	Instituto Federal de Medicamentos y Dispositivos Médicos 	de Alemania)	BI2024
feed	toma 	BI2024
female 	hembra	BI2024
fermentation runs	serie de fermentación	BI2024
ferrule	casquete	de un envase)	BI2024
fiber shipping container	contenedor de fibra para transporte de muestras	BI2024
fibre shipping container	contenedor de fibra para transporte de muestras	BI2024
fibre board drum	tambor de fibra	BI2024
fibre drum	tambor de fibra	BI2024
fiber drum	tambor de fibra	BI2024
fibroblast growth factor receptor	receptor del factor de crecimiento fibroblástico	BI2024
filial generation	generación filial 	BI2024
fill	llenar	BI2024
fill up 	completar	BI2024
fill volume	volumen de llenado	BI2024
filler	relleno 	BI2024
fill-head	cabezal de llenado	BI2024
filling mass	material de relleno	BI2024
fill mass	material de relleno	BI2024
filling mass of the reservoir	masa de relleno del tanque de reserva	BI2024
film thickness 	espesor de la película	referido a cromatografía)	BI2024
film-coated tablet	comprimido recubierto 	BI2024
coated tablet	comprimido recubierto 	BI2024
filter 	filtro	BI2024
filter holder	portafiltros	BI2024
filter membrane	filtro de la membrana	BI2024
filter paper	papel de filtro	BI2024
filter plate	bandeja de filtrado	BI2024
filter-aide	coadyuvante de filtrado	BI2024
filter aide	coadyuvante de filtrado	BI2024
filtration	filtración	BI2024
filtrate	filtrado	BI2024
final art	versión final del diseño	referido a un envase)	BI2024
final stage 	etapa final	BI2024
finding	hallazgo	BI2024
fine material	material de grano fino	BI2024
fine particle dose	dosis de partículas finas	BI2024
fines	partículas finas	BI2024
finger grip	de una jeringa)	BI2024
finger flange	lengüeta de apoyo	de una jeringa)	BI2024
finished product	producto terminado	BI2024
finished product manufacturer	fabricante del producto terminado	BI2024
first generation	primera generación 	BI2024
first pass metabolism	metabolismo en el primer paso	BI2024
first-pass metabolism	metabolismo en el primer paso	BI2024
fixative	fijador	BI2024
fixed-dose combination 	combinación a dosis fija	BI2024
flare	brote agudo	BI2024
flare of GPP of moderate-to-severe intensity	brote agudo de PPG de intensidad entre moderada y grave	BI2024
flare of GPP of moderate to severe intensity	brote agudo de PPG de intensidad entre moderada y grave	BI2024
flash point	punto de inflamación	BI2024
flavin-containing monooxygenases	monoxigenasas que contienen flavinas	BI2024
flavonoid	flavonoide 	BI2024
flavouring agent	saborizante	BI2024
flavoring agent	saborizante	BI2024
flesh	beige claro 	BI2024
flesh-coloured	beige claro 	BI2024
flickering pain	dolor fluctuante	BI2024
float-type flow meter	medidor de flujo de tipo flotante	BI2024
flow control unit	regulador de flujo	BI2024
flow diagram	flujograma	BI2024
flow chart	flujograma	BI2024
flow rate	velocidad de flujo	BI2024
flowing property	propiedad de fluidez	BI2024
fluid bed 	lecho fluido	BI2024
fluid challenge test	prueba de sobrecarga líquida	BI2024
fluoride	fluoruro	BI2024
flying rib	costilla lumbar	BI2024
focal discolouration	discromía focal	BI2024
focal length	distancia focal	BI2024
focal score	puntuación focal	BI2024
folding box	caja plegable	BI2024
carton	caja plegable	BI2024
folic acid	ácido fólico	BI2024
folliculitis	foliculitis	BI2024
food additive	aditivo alimentario	BI2024
Food and Drug Administration	Administración de Alimentos y Medicamentos	Food and Drug Administration) 	BI2024
foodstuff	producto alimenticio	BI2024
for analysis	para analizar	BI2024
forced degradation study	estudio de degradación forzada	BI2024
forced expiratory volume	FEV)	volumen espiratorio máximo (VEF)	BI2024
foreign bodies	cuerpos extraños	BI2024
foreign matter 	impurezas	BI2024
form factor	factor de forma	BI2024
forming foil	lámina cavitada	BI2024
formoterol	formoterol	BI2024
formoterol fumarate	fumarato de formoterol	BI2024
formulation	fórmula	BI2024
formulation	composición	del medicamento)	BI2024
forward flow test	prueba de flujo directo	BI2024
four times a day [q.i.d.] / 	cuatro veces al día	BI2024
Fourier transformed infrared spectroscopy [FT-IR]	espectroscopía infrarroja por transformada de Fourier	BI2024
four-way cross-over study	estudio cruzado de cuatro vías	BI2024
four-way crossover study	estudio cruzado de cuatro vías	BI2024
fraction absorbed 	fracción absorbida 	BI2024
fraction bioavailable	fracción biodisponible	BI2024
frameshift change	cambio del marco de lectura	BI2024
frameshift mutagen	mutágeno que desplaza el marco de lectura del código genético	BI2024
free base	base libre	BI2024
free fatty acid	ácido graso libre	BI2024
freely soluble	fácilmente soluble	BI2024
freeze and thaw	congelar y descongelar	BI2024
frequency distribution	distribución de frecuencias 	BI2024
freshly prepared solutions	soluciones recién preparadas	BI2024
friability	friabilidad	BI2024
fuel gases	gases combustibles	BI2024
full analysis set	grupo completo de análisis	BI2024
full evaporation technique	método de evaporación total	BI2024
full production scale	escala de producción completa	BI2024
full scale  	escala completa 	BI2024
fume hood	campana extractora de vapores	BI2024
Functional Assessment of Chronic Illness Therapy - Fatigue [FACIT-F] 	Evaluación Funcional del Tratamiento de Enfermedades Crónicas - Fatiga	BI2024
functional residual capacity	capacidad residual funcional	BI2024
furafylline	furafilina	BI2024
gamma glutamyl transferase	gamma glutamil transferasa	BI2024
gamma scintigraphy	gammagrafía	BI2024
gamma-globulin	gamma globulina	BI2024
gas chromatograph	cromatógrafo de gases	BI2024
gas chromatography 	cromatografía de gases	BI2024
gastrointestinal transit	tránsito gastrointestinal	BI2024
gauge pin	calibrador de perno	BI2024
gavage	alimentación por sonda nasogástrica	BI2024
gene construct	constructo génico	BI2024
general notes	notas generales	BI2024
generalized pustular psoriasis	psoriasis pustulosa generalizada	BI2024
Generalized Pustular Psoriasis Physician Global Assessment	Evaluación global del médico de la psoriasis pustulosa generalizada	BI2024
Generally recognised as safe	Generalmente reconocidos como seguros	BI2024
genotoxic effect	efecto genotóxico	BI2024
geometric mean	media geométrica	en estadística)	BI2024
gestation day	día de gestación	BI2024
gland 	glándula	BI2024
glass electrode	electrodo de vidrio	BI2024
glass pipette	pipeta de vidrio 	BI2024
glass rod	varilla de vidrio	BI2024
glass vial	ampolla de vidrio	BI2024
glass vial	frasco de vidrio	BI2024
glass-stoppered	con tapón de vidrio	BI2024
glassware	utensilios de vidrio	BI2024
glidant	deslizante	referido a los comprimidos)	BI2024
Global Drug Safety Database	Base de Datos de Seguridad Farmacológica Global 	BI2024
Global initiative for chronic Obstructive Lung Disease 	Iniciativa global de la enfermedad pulmonar obstructiva crónica	BI2024
glucocorticoid	glucocorticoide	BI2024
glucokinase	glucosinasa	BI2024
glucose dependent insulinotropic peptide	péptido insulinotrópico dependiente de la glucosa	BI2024
glutamate dehydrogenase	glutamato deshidrogenasa	BI2024
glutamine	glutamina	BI2024
glycaemic control	control glucémico	BI2024
glycerol	glicerina	BI2024
glycerophosphate	glicerofosfato	BI2024
glycin 	glicina	BI2024
glycosylation	glicosilación	BI2024
Good Clinical Practices	Buenas Prácticas Clínicas	BI2024
Good Laboratory Practices	Buenas Prácticas de Laboratorio	BI2024
Good Laboratory Practices study	estudio que cumple con las Buenas Prácticas de Laboratorio	BI2024
Good Manufacturing Practices	Buenas Prácticas de Fabricación	BI2024
grades of freedom	grados de libertad	BI2024
grades of reagents 	calidades de reactivos	BI2024
gradient elution	elución en gradiente	BI2024
graduated cylinder	probeta graduada	BI2024
grand column	en el contexto de cromatografías)	BI2024
grand-column	precolumna	en el contexto de cromatografías)	BI2024
pre-column	precolumna	en el contexto de cromatografías)	BI2024
precolumn	precolumna	en el contexto de cromatografías)	BI2024
granulate point	punto de granulación	BI2024
granulation	granulación	BI2024
graphite tube with platform	tubo de grafito con plataforma	BI2024
grid	rejilla	de un filtro)	BI2024
grind	moler	BI2024
by grinding	por molienda	BI2024
ground	molido	BI2024
ground glass stopper	tapón de vidrio esmerilado	BI2024
ground-joint diaphragm	diafragma de junta esmerilada	BI2024
Guinea pig	cobayo	BI2024
half life	vida media	BI2024
half maximal inhibitory concentration 	concentración inhibitoria máxima al 50% 	BI2024
halogen moisture analyzer	analizador halógeno de la humedad	BI2024
hand valve	válvula manual	BI2024
handwheel	manivela	BI2024
hard capsule 	cápsula dura	BI2024
hardness	dureza	BI2024
hardness tester	durómetro	BI2024
hay fever	rinitis alérgica	BI2024
hazard ratio	cociente de riesgos instantáneos	en epidemiología)	BI2024
head	jefe/a	BI2024
head	director/a	BI2024
head	head	consultar a la coordinadora)	BI2024
headspace autosampler 	procesador de muestras automático con espacio libre	BI2024
healthy volunteers	voluntarios sanos 	BI2024
heart rate	frecuencia cardíaca 	BI2024
heartburn	acidez	BI2024
heat flow	flujo térmico	BI2024
heat induction sealing	sellado por termoinducción	BI2024
heat seal	termosellar	BI2024
heat seal lacquer	laca de termosellado	BI2024
heatseal coating 	recubrimiento termosellado	BI2024
heavy chain	cadena pesada	BI2024
heavy metals testing 	pruebas para la determinación de metales pesados	BI2024
height	altura	referido a los envases)	BI2024
helicobacter pylori	helicobacter pylori	BI2024
hematological investigation	investigación hematológica	BI2024
hemihydrate	hemihidrato	BI2024
hemihydrate form	forma hemihidratada	BI2024
hemodynamic	hemodinámico/a	BI2024
heparin-binding growth factor	factor de crecimiento de unión a la heparina	BI2024
hepatic impairment	deterioro hepático 	BI2024
hepatobiliary disorders	trastornos hepatobiliares	BI2024
hepatocyte	hepatocito	BI2024
herbal medicine	medicamento de origen vegetal	BI2024
herbal preparation	preparado de origen vegetal	BI2024
herbal substance	sustancia de origen vegetal	BI2024
hexamethylenetetramine	hexametilentetramina	BI2024
high molecular weight 	alto peso molecular 	BI2024
high performance liquid chromatography	cromatografía líquida de alta resolución	BI2024
high performance size exclusion chromatography	cromatografía de exclusión por tamaño de alta resolución	BI2024
high shear mixer	mezclador de alta velocidad	BI2024
high shear mixer granulator	mezclador granulador de alta velocidad	BI2024
high-density polyethylene bottle	frasco de polietileno de alta densidad	BI2024
HDPE bottle	 frasco de HDPE	BI2024
high-throughput screening	técnica de cribado de alto rendimiento 	BI2024
Himalayan rabbit	conejo de Himalaya	BI2024
histamine dihydrochloride	diclorhidrato de histamina	BI2024
histopathological examination	examen histopatológico	BI2024
histopathology	histopatología	BI2024
hit rate 	tasa de coincidencia	referida al cribado de alto rendimiento) 	BI2024
hold time	tiempo de espera	BI2024
hormonal contraceptives 	anticonceptivos hormonales 	BI2024
host cells	células hospedadoras	BI2024
hour 	hora	BI2024
HP-1100 system	sistema HP-1100	referido a cromatografía)	BI2024
human colon carcinoma derived cell line	línea celular de carcinoma colónico humano	BI2024
human equivalent dose 	dosis equivalente a la humana	BI2024
human immunodeficiency virus	virus de la inmunodeficiencia humana	BI2024
human phase II metabolite	metabolito humano de fase II	BI2024
humanised antagonistic monoclonal immunoglobulin G1	IgG1) antibody	anticuerpo monoclonal humanizado de tipo inmunoglobulina G1 (IgG1) antagonista	BI2024
humanized IgG1 monoclonal antibody	anticuerpo monoclonal humanizado IgG1	BI2024
humidifier	humidificador	BI2024
hydrazine	hidracina	BI2024
hydrazine sulphate	sulfato de hidracina	BI2024
hydrochloric acid	ácido clorhídrico	BI2024
hydrochloride salt	sal clorhidrato	BI2024
hydrofluoroalkane 	hidrofluoroalcano 	BI2024
hydrogenate	hidrogenar	BI2024
hydrolysis	hidrólisis	BI2024
hydrolytic	hidrolítico	BI2024
hydroxide	hidróxido	BI2024
hydroxypropylmethylcellulose	hidroxipropilmetilcelulosa	BI2024
hydroxytryptamine	hidroxitriptamina	BI2024
hydroxyzine	hidroxicina	BI2024
hygroscopic	higroscópico	BI2024
hyperglycaemia	hiperglucemia	BI2024
hyperlipidemias	hiperlipidemia 	BI2024
hypersensibility	hipersensibilidad	BI2024
hypertension 	hipertensión	BI2024
hypromellose	hipromelosa	BI2024
hysteresis effect	efecto histéresis	BI2024
ICH guideline 	lineamiento de la ICH 	BI2024
identity	identificación	BI2024
Iditol	iditol	BI2024
IL36R binding by Octet              	unión al IL-36R mediante el sistema Octet 	BI2024
immediate pack	envase primario	BI2024
immediate packaging material	material de acondicionamiento primario	BI2024
immediate release	liberación inmediata	BI2024
immunocompetence	inmunocompetencia	BI2024
immunoglobulin A 	inmunoglobulina A 	BI2024
immunoglobulin G 	Inmunoglobulina G 	BI2024
immunologic parameter	parámetro inmunológico	BI2024
immunomodulating effect	efecto inmunomodulador	BI2024
Immunotoxicological investigation	investigación inmunotoxicológica	BI2024
impeller	propulsor	BI2024
impenetrable to light	opaco	BI2024
implantation site	zona de implantación	BI2024
impression	e.g.: one face of the tablet is impressed with...)	inscripción (por ejemplo: una cara del comprimido lleva la inscripción… )	BI2024
imprint	inscripción	referido a un comprimido)	BI2024
impurity 	impureza 	BI2024
in extremis	in extremis	BI2024
In use stability	estabilidad durante el uso	BI2024
in vitro	correlación in vitro	BI2024
in vivo correlation	in vivo 	BI2024
in vitro release rate	velocidad de liberación in vitro 	BI2024
in vitro study	estudio in vitro 	BI2024
in Vollmacht [i.v.]	firma del/de la apoderado/a	BI2024
inactive ingredient	excipiente	BI2024
inclusion criteria	criterio de inclusión 	BI2024
incomplete block design	diseño en bloques incompletos	BI2024
Incurred sample reanalysis	reanálisis de muestras	BI2024
